#,Tracker,Status,Priority,Subject,Assignee,Updated,Description,Last notes
19333,??????,?????,??????????,"???????????  ???????? ????? ???? ""????????""",Anastasiya Lopatovskaya,02/07/2023 03:47 PM,"???? ??????????????? :

1) ??????? ????: https://qwertyshop.ua/
2) ??????? ? ?????? ""????????? Apple""
3) ??????? ? ????????? ""????????? Apple Iphone""
4) ????????? ? ????????? ""Apple Iphone 13 Pro""
5) ???????? ????? ""Apple iPhone 13 Pro 1 TB Graphite"" ????????? ??? ""? ?????????""
6) ??????? ? ?????? ""????????? Apple""
7) ??????? ? ????????? ""????????? Apple Iphone""
8) ????????? ? ????????? ""Apple Iphone 13""
9) ???????? ????? ""Apple iPhone 13 128 GB Starlight"" ????????? ??? ""? ?????????""
10) ???????? ?? ??????? ?????????? ""????????"" ? ???????

   https://gyazo.com/2745f4d95f980c35a253a5960f21f1fa


*????????? ?????????*  : ?????????? ?????? ???????? ???? ""????????""
*??????????? ?????????* :???????????  ???????? ????? ???? ""????????""",""
19332,??????,?????,??????????,???? ?????? ?? ?????? ???? ?????????????? ,Anastasiya Lopatovskaya,02/07/2023 11:32 AM,"???? ??????????????? :

1) ??????? ????: https://qwertyshop.ua/
2) ??????? ? ?????? ""??????????? ???????""
3) ??????? ? ????????? ""????????""
4) ???????? ????? ""??????? ASUS ROG Strix G17 (G713IM-HX055W) EU""

https://gyazo.com/cc274d1c9536ebbc3eced7add9734cdd

*????????? ?????????* : ???? ?? ????? ???? ?????????????? ??? ??????? ???? ????
*??????????? ?????????* : ???? ?? ?????? ??????? ??? ????? ??????
",""
19331,??????,?????,??????????,"?????????? ???????? ?????? NVIDIA ? ??????? ""??? ???????? ?????""",Anastasiya Lopatovskaya,02/07/2023 11:18 AM,"???? ??????????????? :

1) ??????? ????: https://qwertyshop.ua/
2) ?????? ? ????????? ?????? ?????? ?? ????? ???????? ????? ""NVIDIA""
3) ?????? ?? ????????? ?????? 

https://gyazo.com/5b24a4e4ed26548d262e8f77d7c08ccd

4) ?????????? ???? ????? ?????? ???????? ?? ?????? ""??? ???????? ?????""

https://gyazo.com/1d0e1673f0dcf38a9fd5d4af101a005a

*????????? ?????????* : ??????? ???????? ?????? NVIDIA ? ??????? ""??? ???????? ?????""
*??????????? ?????????* : ?????????? ???????? ?????? NVIDIA ? ??????? ""??? ???????? ?????""",""
19330,??????,?????,??????????,"? ?????? ? ?????????????? ????? ""????????"" ?????? ?????? ?????????.",Dubrovin Denis,02/07/2023 11:10 AM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????? ????? ?????? ?? ?????? ""????????""
3) ? ??????? ""????????"" ? ? ?????? ?????? ?????? ?????????.

",""
19329,??????,?????,??????,"? ?????????????? ?????? ? ?????? ?? ?????????? ????? ??????. ?????? ? 10:00 ?? 17:00, ???????? ? 10 ?? 17. ??? ??????? ?????? ????? ""17"".",Dubrovin Denis,02/07/2023 11:06 AM,"???? ???????????????:
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????????????? ?????? ? ??????,  ????? ?????? ??????? ? 10 ?? 17 ?????? 10:00 ?? 17:00 https://gyazo.com/3abce124709d88aa816b5d89963128e2
3) ? ?????????? ?????? ?????,  ?? ??????? ?????? ????? ""17"". https://gyazo.com/2ba3846bd6883de0679325fc7b32fba2
",""
19328,??????,?????,??????????,"? ?????????????? ????? ""????????"" ? ?????? ? ?????????????? ?????? ? ?????? ?????? ?????? ??????.",Dubrovin Denis,02/07/2023 10:59 AM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????? ????? ?????? ?? ?????? ""????????""
3) ? ?????? ????? ?????? ""??????? ? 11 ?? 17"". ? ?????????????? ????? ""????????"" ??????? ????????.
https://gyazo.com/e249b265ff66d9904508d32aff98d877
",""
19327,??????,?????,??????????,"?? ???????? ????? ""? ???"" ????????? ?????? ",Anastasiya Lopatovskaya,02/07/2023 10:57 AM,"???? ??????????????? :
1) ??????? ????: https://qwertyshop.ua/
2) ?????? ? ??????? ?? ?????? ""? ???""

https://gyazo.com/4ac066ce826179d6b4cbe2a142bc41da

????????? ????????? : ??? ??????? ?????? ""? ???"" ?????????? ?? ???????? ? ??????????? ? ????????
??????????? ????????? : ?? ???????? ????? ""? ???"" ????????? ?????? ",""
19326,??????,?????,???????,"? ??????? ""???????"" ????? ???????? ????? ? ""???????"" ?????.",Dubrovin Denis,02/07/2023 10:48 AM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ????????? ? ????? ????????? ??????
3) ?????????? ???????? ???? ?? ""0"" ?? ""0"" ??????? ""??""
4) ???????? ????? ? ????? ""????????"" https://gyazo.com/bbe985861d1b6ce8c507f24005d182eb
5) ????????? ????? ? ???????. https://gyazo.com/ce92058769d89031ea01075d23448398
6) ? ??????? ????? ???????????? ? ????? ""1 ???.""
7) ????????? ?????. ????? ??????????? ? ????? ""0"" ???. https://gyazo.com/c383b03dab8dcdf7a8272f0c8823416a

*????????? ?????????:* ??? ??????????? ???? ?? ""0"" ?? ""0"" ?????? ""??"" ?? ???????????, ???? ??????????? ?????????????? ""????? ?? ??????""
*??????????? ?????????:* ???????? ?????? ? ????? ""????????"" ? ? ???????????? ?????????? ? ??????? ? ??????????? ???????.","?????? ??? ?? ???????? ? ????????? ""????????"" ? ""??????????"""
19325,??????,?????,??????????,"? ??????? ""????????""  ???? ?????????? ???? ?????????????? ????.",Dubrovin Denis,02/07/2023 10:14 AM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ????????? ? ?????? ""????????"" https://qwertyshop.ua/noutbuki
3) ??????? ????.

https://gyazo.com/1d0815c63bf442d160a641c0754d17ab

*????????? ?????????:* ???? ?????????? ???? ??????????????.
*??????????? ?????????:* ???? ?????????? ???? ??????????????.
",""
19324,??????,?????,??????????,"? ????????? ""????????"" ??? ??????????? ???? ""?? ??????? ? ???????"" ? ""?? ??????? ? ???????"" ???? ??????????? ??????? ???.",Dubrovin Denis,02/07/2023 09:56 AM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ????? ??????? ? ????? ""?????????"" - ""??????????? ???????"" - ""????????""
3) ??????? ?????? ??????????? "" +?? ??????? ? ???????+ "" ??? ""?? ??????? ? ???????""

https://gyazo.com/20ff4e639a4b7d5fdf2cad36c3eb571b

*????????? ?????????* : ??? ????? ?? ?????? ""?? ??????? ? ???????"" ??? ""?? ??????? ? ???????"" ?????????? ?????????? ??? ?? ?????????? ? ??????? ??? ???????? ??????????????.
*??????????? ?????????* : ??? ????? ?? ?????? ""?? ??????? ? ???????"" ??? ""?? ??????? ? ???????"" ???? ???????????? ? ???????????? ???????.",""
19323,??????,?????,??????????,"??????????? ?????????? ??????? ""USB ????-??????????"" ",Anastasiya Lopatovskaya,02/07/2023 11:20 AM,"???? ??????????????? :
1) ??????? ????: https://qwertyshop.ua/
2) ??????? ????? ???? ""??????????? ???????""
3) ??????? ? ??????? ""USB ????-??????????""

https://gyazo.com/2931f8ef111f798427c418da832aadeb

????????? ????????? : ?????????? ??????? ""USB ????-??????????"" 
??????????? ????????? : ??????????? ?????????? ??????? ""USB ????-??????????""","???? ??????????????? :
1) ??????? ????: https://qwertyshop.ua/
2) ??????? ????? ???? ""??????????? ???????""
3) ??????? ? ??????? ""USB ????-??????????""

https://gyazo.com/2931f8ef111f798427c418da832aadeb

*????????? ?????????*  : ?????????? ??????? ""USB ????-??????????""
*??????????? ?????????* : ??????????? ?????????? ??????? ""USB ????-??????????"""
19322,??????,?????,??????,"? ??????? ??? UA ??????????? ?????? ""???????? ??????"" ???????? ? ???????",Anastasiya Lopatovskaya,02/07/2023 08:38 AM,"???? ??????????????? :
1) ??????? ????: https://qwertyshop.ua/
2) ???????? RU ?? UA ???????????
3) ?????? ""???????? ??????"" ?????????? ??? ""????????? ???????"", ? ?????? ???? ""????????? ???????""

https://gyazo.com/78c2376d4853b85c607b0230d0a327f5


*????????? ?????????* : ??? UA ??????????? ""???????? ??????"" ?????? ???? ??????? ""????????? ???????""
*??????????? ?????????* : ??? UA ??????????? ""???????? ??????"" ???????? ? ??????? ""????????? ???????""",""
19321,??????,?????,??????,?????????? UA ??????????? ??????? ??? ?????? ????? ?? ?????????? ?????,Anastasiya Lopatovskaya,02/07/2023 08:27 AM,"???? ???????????????:
1) ??????? https://qwertyshop.ua/
2) ??? ????? ????? ????? ?? UA ??????? ?????????? ?????????? ?????? ?? RU

https://gyazo.com/3e12b54f11f9ef266bb56927621eb0e6

*????????? ?????????* : UA ??????????? ??????? ??? ?????? ????? ?? ?????????? ?????
*??????????? ?????????* : ?????????? UA ??????????? ??????? ??? ?????? ????? ?? ?????????? ?????


",""
19320,??????,?????,??????,?????????? UA ??????????? ??????? ??? ?????? ????? ?? ?????????? ?????,Anastasiya Lopatovskaya,02/07/2023 07:54 AM,"????????

???? ?????????????:
1) ??????? https://qwertyshop.ua/
2) ??? ????? ????? ????? ?? UA ??????? ?????????? ?????????? ?????? ?? RU

 https://gyazo.com/3e12b54f11f9ef266bb56927621eb0e6

????????? ?????????: UA ???????????  ??????? ??? ?????? ????? ?? ?????????? ?????
??????????? ?????????: ?????????? UA ??????????? ??????? ??? ?????? ????? ?? ?????????? ?????",""
19313,??????,?????,??????????,"?????????? ?????? ???? ??????  ? ??????? ""????"" ?? ?????????? ???????????. ",???????  ??????? ,02/07/2023 12:07 AM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) ??????? ? ?????? ""????"", ??????????? ?? ?????????? ???????????.
3) https://gyazo.com/bf7597268639c76e8dceb18776832be3
 
*????????? ?????????:* ??????????? ?????? ???? ??????  ? ??????? ""????"" ?? ?????????? ???????????. 
*??????????? ?????????:* ?????????? ?????? ???? ?????? ?  ??????? ""????"" ?? ?????????? ???????????. ",""
19309,??????,?????,??????????,"?? ??????????? ????????? ???? ?? ??????? ""ASUS ROG Strix SCAR 17 G733ZW-KH126 EU"" , ????????? ???? ???? ?????????????? .",???????  ??????? ,02/06/2023 11:40 PM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) ??????? ? ??????:""?????-????? ?? ??????????? ??????? -????? ?? ????????.
3) ????? ??????? ""ASUS ROG Strix SCAR 17 G733ZW-KH126 EU""
4) https://gyazo.com/5399716cdd55d82318bce154f3286b4c
 
*????????? ?????????:* ???????????  ??????? ""?????"" ????????? ???? ?? ??????? ""ASUS ROG Strix SCAR 17 G733ZW-KH126 EU"".???? ????????? ???? ??????????????.
*??????????? ?????????:* ?? ??????????? ????????? ???? ?? ??????? ""ASUS ROG Strix SCAR 17 G733ZW-KH126 EU"" , ????????? ???? ???? ?????????????? .",""
19306,??????,?????,??????????,"? ???????:""????????? ?????"", ?? ???????????? ?????? ? ???????? ??????????????? ????? "" ?????? ????????? ?????????"" ? ""?????? ? ???????????? ???????? ???????""",???????  ??????? ,02/06/2023 11:08 PM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) ??????? ? ??????:""????????? ?????""
3) https://gyazo.com/5ed55950c348ba6b6f3101c8076d68a4

*????????? ?????????:*  ????????????? ?????? ? ???????? ??????????????? ?????  ???????:""????????? ?????"","" ?????? ????????? ?????????"" ? ""?????? ? ???????????? ???????? ???????"" 
*??????????? ?????????:* ? ???????:""????????? ?????"", ?? ???????????? ?????? ? ???????? ??????????????? ????? "" ?????? ????????? ?????????"" ? ""?????? ? ???????????? ???????? ???????""",""
19304,??????,?????,??????,"? ??????, ? ??????? ""??????"", ? ??????? ""?????? ????????? ?????????"" ? ???????? ?????? ?? ??????????? ?????.",Dubrovin Denis,02/06/2023 11:02 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????? ????? ?????? ?? ?????? ""??????""
3) ? ??????? ""?????? ????????? ?????????"" ????????? ?? ?????? ""??????? ? ??????"" 
4) ? ?????????????? ????? ?? ??????????? ?????.

https://gyazo.com/7021f3d9c29c8257f7aae394df21b0bb",""
19303,??????,?????,??????,"? ??????, ? ??????? ""??????"", ? ??????? ""?????? ????????? ?????????"" ? ???????? ?????? ?? ??????? ?????? ?? ???? ""https://qwertyshop.ua""",Dubrovin Denis,02/06/2023 10:58 PM,"???? ???????????????:
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????? ????? ?????? ?? ?????? ""??????""
3) ? ??????? ""?????? ????????? ?????????"" ? ????????  ?????? ?? ??????? ?????? ""https://qwertyshop.ua""

https://gyazo.com/84602e7fb22963cbae898f9e603a7028

????????? ?????????: ??? ????? ?? ????? ""https://qwertyshop.ua"" ?????????????? ??????? ?? ??????? ???????? ?????.
??????????? ?????????: ?????? ?? ???????.",""
19301,??????,?????,??????????,"? ???????: ""???????  ? ?????? ??????"" , ? ??????: ""????????? ???????? ??????""?? ????????? ??????????? , ????????? ?? ????????? ? ?? ??????? ??????. ",???????  ??????? ,02/06/2023 10:51 PM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) ??????? ? ??????:""??????? ? ?????? ??????"".
3) https://gyazo.com/8d3249f2fa3738c160b8832783e8e45f
 
*????????? ?????????:* ?????????? ??????????  ? ???????: ""???????  ? ?????? ??????"" , ? ??????: ""????????? ???????? ??????""?? ????????? ??????????? , ????????? ?? ????????? ?????. 
*??????????? ?????????:* ? ???????: ""???????  ? ?????? ??????"" , ? ??????: ""????????? ???????? ??????""?? ????????? ??????????? , ????????? ?? ????????? ? ?? ??????? ??????. ",""
19299,??????,?????,??????,"? ??????, ? ??????? ""??????"", ? ??????? ""?????????, ???????????? ?????????????"" ?? ??????????? ?????.",Dubrovin Denis,02/06/2023 10:50 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????? ????? ?????? ?? ?????? ""??????""
3) ? ??????? ""?????????, ???????????? ?????????????"" ????????? ?? ?????? ""??????? ? ??????"" https://qwertyshop.ua/servisniy-centr/ustanovka-obsluzhivanie-kondicionerov
4) ? ?????????????? ????? ?? ??????????? ?????.

https://gyazo.com/006c89af1b6c8732e929517bbd1fcee9

",""
19297,??????,?????,??????????,"? ??????? ""?????? ?????????"", ? ???????? ?????, ?????? ""?????? ?????????"" ?????????????? ? ?????? ""???????? ? ????????????? ??? ?????????""",Dubrovin Denis,02/06/2023 10:39 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????? ????? ?????? ?? ?????? ""??????""
3) ????????? ?? ??????? ""?????? ?????????"" ""??????? ? ??????""
4) ? ?????????????? ????? ???????????? ???? ? ??????? ?????? ""?????? ?????????"" https://qwertyshop.ua/servisniy-centr/remont-noutbukov
5) ??? ????? ?? ?????? ""?????? ?????????"" ?????????????? ??????? ? ?????? ""???????? ? ????????????? ??? ?????????"".

https://gyazo.com/51d54f64721b31ccaaf21114cb444de4

*????????? ?????????:* ??? ????? ?? ?????? ""?????? ?????????"" ??????????? ?????????? ? ??????? ?????????.
*??????????? ?????????:* ??? ????? ?? ?????? ""?????? ?????????"" ??????????? ?????????????? ???? ""???????? ? ????????????? ??? ?????????"".",""
19296,??????,?????,???????,"??? ????????? ???? ""?? ? ??"" ? ??????? ""???????? ???????"",???? ????????? ????????.",???????  ??????? ,02/06/2023 10:37 PM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) ????? ? ?????? ""?????????? ??????- ???????? ???????""
3) ???????? ???? ""?? ? ??"", ????????? ????  ???? ????????????.
 
*????????? ?????????:* ???? ?????????? ???????? ??? ????????? ???? ""?? ? ??"" ? ??????? ""???????? ???????"".
*??????????? ?????????:* ??? ????????? ???? ""?? ? ??"" ? ??????? ""???????? ???????"",???? ????????? ????????.",""
19295,??????,?????,??????????,"??? ??????? ?? ?????? ""??? ???????? ?????????"" ?????????????? ??????? ?? ??????? ????????.",Dubrovin Denis,02/06/2023 10:27 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ??????? ""???????"" ??????? ?? ?????? ""???????? ?????""
3) ??? ????? ?? ?????? ""??? ???????? ?????????"" ??????????? ??????? ????????.

https://gyazo.com/e914c10b7f32867d8e1b446ccda46ce3

*????????? ?????????:* ??? ????? ?? ?????? ""??? ???????? ?????????"" ???????????  ??????????, ??? ???????? ????????.
*??????????? ?????????:* ??? ????? ?? ?????? ""??? ???????? ?????????"" ??????????? ????????? ????????.",""
19294,??????,?????,???????,"?? ???????????? ?????? "" ? ???"" ? ?????? .",???????  ??????? ,02/06/2023 10:15 PM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) ?????? ?????? ""? ???""
*????????? ?????????:* ???????????? ?????? "" ? ???"" ? ?????? .
*??????????? ?????????:*?? ???????????? ?????? "" ? ???"" ? ?????? .",""
19293,??????,?????,??????,"?? ??????????? ????? ? ??????? ""???????? ??????????""",Dubrovin Denis,02/06/2023 10:13 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ????????? ?? ?????? ""??????""
3) ? ??????? ""???????? ??????????"" ??????? ?? ?????? ""??????? ? ??????"" https://qwertyshop.ua/servisniy-centr/lazernaya-gravirovka
4) ? ?????????????? ????? ""???????? ???????????? ????????? ?????"" ?? ??????????? ?????.

https://gyazo.com/c256553358dad9b6701cac1c4817086d

",""
19291,??????,?????,??????????,"?????????? ? ??????? ""?????????"" ???????? ?? ??? ???????.",???????  ??????? ,02/06/2023 10:10 PM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) ? ????? ???? ,?????? ""?????????"",??????? ??????.
3) https://gyazo.com/a88dd4f0a8786156cf0482ef734c6adf
*????????? ?????????:* ??????????? ? ??????? ""?????????"" ???????? ?? ??? ???????. 
*??????????? ?????????:* ?????????? ? ??????? ""?????????"" ???????? ?? ??? ???????.",""
19290,??????,?????,??????,"???????? ?????? ""? ???"" ?? ????????????? ????????. ??? ???????? ??????????? ???? ""?????? ????????""",Dubrovin Denis,02/06/2023 10:02 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????? ????? ?????? ?? ?????? ""? ???""

https://gyazo.com/7e792ca156c0c30b4b18eec78f9823f2

*????????? ?????????:* ??? ????? ?? ?????? ""? ???"" ????????? ?????????????? ???? ? ????????, ???? ???????????? ? ??????.
*??????????? ?????????:* ??? ????? ?? ?????? ""? ???"" ??????????? ?????????????? ???? ? ???????? ?? ????????.",""
19289,??????,?????,??????,?????????? ??????????? ?? ?????????? ????? ? ????????.,???????  ??????? ,02/06/2023 10:01 PM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) https://gyazo.com/0d731ac3d809bcdbbb0984774052891e
*????????? ?????????:*  ??????????? ??????????? ?? ?????????? ????? ? ????????.
*??????????? ?????????:* ?????????? ??????????? ?? ?????????? ????? ? ????????.",""
19288,??????,?????,??????????,"??????????? ??????? ""????????"" ??? ????????? ???????. ",???????  ??????? ,02/06/2023 09:56 PM,"*???? ?????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) https://gyazo.com/a60dfe3dba139da42308afe4df050045
 
*????????? ?????????:* ?????????? ??????? ""????????"" ??? ????????? ???????. 
*??????????? ?????????:* ??????????? ??????? ""????????"" ??? ????????? ???????. ",""
19237,??????,?????,??????,"?? ???????????? ?????? ??????? ""????""  ? ?????????? ??????????? ",Yuliia Novikova,02/06/2023 04:35 PM,"???? ???????????????:
1) ??????? ???? https://qwertyshop.ua/
2) ??????? ?? ?????? ""????""
3) ??????? ????? ??????


????????? ?????????: ???????????? ?????? ??????? ""????""  ? ?????????? ??????????? 
??????????? ?????????: ?? ???????????? ?????? ??????? ""????""  ? ?????????? ??????????? ",""
19218,??????,?????,??????????,"?????????? ??????? ? ???????????? ""USB ????-??????????"" ? ??????? ????.",Anna Prokopets,02/06/2023 02:03 AM,"*???? ???????????????:*
1) ??????? ????.
2) ??????? ????????? ""??????????? ???????"" - ???????????? ""USB ????-??????????"" ? ??????? ????.
3) ?????????? ??????? ? ???????????? ""USB ????-??????????"" ? ??????? ????.

https://gyazo.com/b6a1762c306ab65188f25bf30f2d4f0d

*????????? ?????????:* ????????????/?????? ??? ??????(-??) ? ???????????? ""USB ????-??????????"" ? ??????? ????.
*??????????? ?????????:* ?????????? ??????? ? ???????????? ""USB ????-??????????"" ? ??????? ????.",""
19217,??????,?????,??????????,"??????????? ?????????? ??????????? ?????????? ???? ?????? ""???????? ???, ????? ????????""",Anna Prokopets,02/06/2023 01:51 AM,"*???? ???????????????:*
1) ??????? ????.
2) ????? ?????, ??????? ??????????/??? ? ???????.
3) ?????? ?? ?????? ""???????? ???, ????? ????????"".
4) ??????????? ?????????? ??????????? ?????????? ???? ?????? ""???????? ???, ????? ????????"".

https://gyazo.com/ec59a0d057dc76f959776f7f4a42f888

*????????? ?????????:* ???????????? ?????????? ??????????? ?????????? ???? ?????? ""???????? ???, ????? ????????"".
*??????????? ?????????:* ??????????? ?????????? ??????????? ?????????? ???? ?????? ""???????? ???, ????? ????????"".",""
19216,??????,?????,??????????,"??????????? ?????????? ??????????? ???????? ""??????? ???????""",Anna Prokopets,02/06/2023 01:44 AM,"*???? ???????????????:*
1) ??????? ????.
2) ??????? ?? 7-? ?????? ""??????? ???????"" ? ??????? ""??????? ??????"" ? ???????.
3) ??????????? ?????????? ??????????? ???????? ""??????? ???????"".

https://gyazo.com/16d64939504bf837697cd705877059da

*????????? ?????????:* ???????????? ?????????? ??????????? ???????? ""??????? ???????"".
*??????????? ?????????:* ??????????? ?????????? ??????????? ???????? ""??????? ???????"".",""
19215,??????,?????,??????????,"??????????? ?????????? ??????????? ???????? ""????? ?????""",Anna Prokopets,02/06/2023 01:41 AM,"*???? ???????????????:*
1) ??????? ????.
2) ??????? ?? 6-? ?????? ""????? ?????"" ? ??????? ""??????? ??????"" ? ???????.
3) ??????????? ?????????? ??????????? ???????? ""????? ?????"".

https://gyazo.com/e6340365ffc778519f14b16537f34f1d

*????????? ?????????:* ???????????? ?????????? ??????????? ???????? ""????? ?????"".
*??????????? ?????????:* ??????????? ?????????? ??????????? ???????? ""????? ?????"".

",""
19204,??????,?????,??????????,????????? ????????? ? ????????? ?????? .,???????  ??????? ,02/05/2023 09:54 PM,"*???? ???????????????:*
1) ????? ?? ???? https://qwertyshop.ua/
2) ???????? ???????? ?? ???????? ??????. 
3)https://gyazo.com/45444700d584f91f28310c6f5b822417

*????????? ?????????:* ??????????? ????????? ? ????????? ??????.
*??????????? ?????????:* ????????? ????????? ? ????????? ?????? .",""
19190,??????,?????,??????????,??????????? UA ??????????? ????????,?????? ???????,02/05/2023 12:15 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ??? ????? ??????????? ?? UA ??????? ????? ?????????? ?????????? ?????? ?? RU 

https://gyazo.com/1d3817ee90e16859aa24f44452899be8

*????????? ?????????:* ???????????? UA ??????????? ????????
*??????????? ?????????:* ??????????? UA ??????????? ????????",""
19187,??????,?????,??????????,"?????? ?????????? UA ??????????? ?? ???????? ""????? ?????""",?????? ???????,02/05/2023 12:08 PM,"*???? ???????????????:* 
1) ??????? ???? https://qwertyshop.ua
2) ??????? ????? ????? ? ??????? ?????? ""????? ?????""
3) ?????? ?????????? UA ??????????? ?? ???????? ""????? ?????""
https://gyazo.com/cddd558c1edbd5cf570db6c35879b9c5

*????????? ?????????:* ???????????? UA ??????????? ?? ???????? ""????? ?????""
*??????????? ?????????:* ??????????? UA ??????????? ?? ???????? ""????? ?????""",""
19185,??????,?????,??????????,"??????????? UA ??????????? ? ""???????? ???????? ??????""",?????? ???????,02/05/2023 11:58 AM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua/
2) ? ?????? ??????? ?????? ""????????""
3) ??????????? UA ??????????? ? ""???????? ???????? ??????""
https://gyazo.com/f215438be77ee82d52a147249bd3a17a


*????????? ?????????:* ???????????? UA ??????????? ? ""???????? ???????? ??????""
*??????????? ?????????:* ??????????? UA ??????????? ? ""???????? ???????? ??????""",""
19183,??????,?????,??????,?????????? UA ??????????? ? ??????? ???????,?????? ???????,02/05/2023 11:53 AM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua
2) ? ?????? ??????? ?????? ""???????""
3) ?????????? UA ??????????? ? ??????? ???????

https://gyazo.com/e165c0b62a1e5a8b9896cfcd4dc82479

*????????? ?????????:* ???????????? UA ??????????? ? ??????? ???????
*??????????? ?????????:* ??????????? UA ??????????? ? ??????? ???????",""
19182,??????,?????,??????????,"?????????? UA ??????????? ???????? ""?????????? ??????""",?????? ???????,02/05/2023 11:47 AM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua
2) ??????? ????? ????? ??? ??????
3) ?????????? UA ??????????? ???????? ""?????????? ??????""

https://gyazo.com/9b31aba91eafb0143665dec6b0afac41

*????????? ?????????:* ???????????? UA ??????????? ???????? ""?????????? ??????""
*??????????? ?????????:*  ??????????? UA ??????????? ???????? ""?????????? ??????""",""
19175,??????,?????,??????????,"??????????? UA ??????????? ??????? ""??????""",?????? ???????,02/04/2023 11:19 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua
2) ??????? ????? ? ?????? ""??????? ??????"" ??????? ?????? ""??????""
3) ??? ????? ??????????? ?????????? ???????????? ?????? ?? RU ?????
https://gyazo.com/aebf0af6260b9a18457c581c744ec7bc

*????????? ?????????:* ???????????? UA ??????????? ??????? ""??????""
*??????????? ?????????:* ??????????? UA ??????????? ??????? ""??????""",""
19174,??????,?????,??????,??????????? UA ??????????? ? ??????????????? ??????? ??? ?????????,?????? ???????,02/04/2023 08:24 PM,"*???? ???????????????:*
1) ??????? ???? https://qwertyshop.ua
2) ??????? ??? ?????? ??? ?????????
3) ???????? ???????? ?? ?????????????? ??????
4) ??? ????? ??????????? ???????? ????? ?????? RU ??????
https://gyazo.com/c13dcf020ee8f8a85b38772a8b9c4911

*????????? ?????????:* ???????????? UA ???????????
*??????????? ?????????:* ??????????? UA ???????????",""
19163,??????,?????,??????????,?? ???????????? ?????????? ??????? ?????? ? ?????? ? ? ??????,Yuliia Novikova,02/04/2023 02:17 PM,"???? ???????????????:
1) ??????? ???? https://qwertyshop.ua/
2) ????????? ????????? ?????? ?????? ? ??????
3) ????????? ????????? ?????? ?????? ? ??????

????????? ?????????: ????????? ?????? ?????? ? ?????? ???????????? ??????? ?????? ? ??????
??????????? ?????????: ?? ???????????? ?????????? ??????? ?????? ? ?????? ? ? ??????",""
19162,??????,?????,??????,???????? ?????? ?????? ?????????? ????? ?? ??????? ????? ? ?????????? ???????????,Yuliia Novikova,02/04/2023 02:08 PM,"???? ???????????????:
1) ??????? ???? https://qwertyshop.ua/
2) ??????????? ?? ?????????? ????
3) ?????? ? ????????? ????? ????? ?? ????????? ?????


????????? ?????????: ????????? ?????? ?????? ????????? ?????? ?? ?????????? ????? ? ?????????? ??????????? 
??????????? ?????????: ????????? ?????? ?????? ????????? ?????? ?? ??????? ????? ? ?????????? ??????????? ",""
19161,??????,?????,??????,"?????? ???????????? ? ??????? ""??????"" ? ?????????? ???????????",Yuliia Novikova,02/04/2023 01:51 PM,"???? ???????????????:
1) ??????? ???? https://qwertyshop.ua/
2) ??????????? ?? ?????????? ????
3) ??????? ?? ?????? ""??????"" ? ??????
4) ??????? ?????? ""????????? ???????""

????????? ?????????: ???????? ??????? ""????????? ???????"" - ""?????? ??????????? ????-???? ????????? ?? ?????. ????????? ?????? ??????????????????.""
??????????? ?????????: ???????? ??????? ""????????? ???????"" - ""?????? ??????????? ???? ????????? ?? ?????. ????????? ?????? ??????????????????.""",""
